# Gene Family	ETBH_Abundance-RPKs	OTBH_Abundance-RPKs
GO:0004739: [MF] pyruvate dehydrogenase (acetyl-transferring) activity|g__Zymomonas.s__Zymomonas_mobilis	5.98	0.0
GO:0004742: [MF] dihydrolipoyllysine-residue acetyltransferase activity	7.87	0.0
GO:0004742: [MF] dihydrolipoyllysine-residue acetyltransferase activity|g__Zymomonas.s__Zymomonas_mobilis	7.87	0.0
GO:0004743: [MF] pyruvate kinase activity	27.371	0.0
GO:0004743: [MF] pyruvate kinase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	19.172	0.0
GO:0004743: [MF] pyruvate kinase activity|g__Zymomonas.s__Zymomonas_mobilis	8.199	0.0
GO:0004748: [MF] ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	39.737	0.0
GO:0004748: [MF] ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor|g__Acetobacter.s__Acetobacter_orientalis	6.251	0.0
GO:0004748: [MF] ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor|g__Lactobacillus.s__Lactobacillus_kunkeei	27.404	0.0
GO:0004748: [MF] ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor|g__Zymomonas.s__Zymomonas_mobilis	6.082	0.0
GO:0004749: [MF] ribose phosphate diphosphokinase activity	28.332	0.0
GO:0004749: [MF] ribose phosphate diphosphokinase activity|g__Acinetobacter.s__Acinetobacter_boissieri	5.171	0.0
GO:0004749: [MF] ribose phosphate diphosphokinase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	16.587	0.0
GO:0004749: [MF] ribose phosphate diphosphokinase activity|g__Zymomonas.s__Zymomonas_mobilis	6.574	0.0
GO:0004750: [MF] ribulose-phosphate 3-epimerase activity	24.043	0.0
GO:0004750: [MF] ribulose-phosphate 3-epimerase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	17.479	0.0
GO:0004750: [MF] ribulose-phosphate 3-epimerase activity|g__Zymomonas.s__Zymomonas_mobilis	6.564	0.0
GO:0004751: [MF] ribose-5-phosphate isomerase activity	38.07	0.0
GO:0004751: [MF] ribose-5-phosphate isomerase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	27.531	0.0
GO:0004751: [MF] ribose-5-phosphate isomerase activity|g__Zymomonas.s__Zymomonas_mobilis	10.539	0.0
GO:0004764: [MF] shikimate 3-dehydrogenase (NADP+) activity	7.545	0.0
GO:0004764: [MF] shikimate 3-dehydrogenase (NADP+) activity|g__Zymomonas.s__Zymomonas_mobilis	7.545	0.0
GO:0004765: [MF] shikimate kinase activity	5.746	0.0
GO:0004765: [MF] shikimate kinase activity|g__Zymomonas.s__Zymomonas_mobilis	5.746	0.0
GO:0004775: [MF] succinate-CoA ligase (ADP-forming) activity	9.641	0.0
GO:0004775: [MF] succinate-CoA ligase (ADP-forming) activity|g__Zymomonas.s__Zymomonas_mobilis	9.641	0.0
GO:0004781: [MF] sulfate adenylyltransferase (ATP) activity	8.461	0.0
GO:0004781: [MF] sulfate adenylyltransferase (ATP) activity|g__Zymomonas.s__Zymomonas_mobilis	8.461	0.0
GO:0004783: [MF] sulfite reductase (NADPH) activity	5.942	0.0
GO:0004783: [MF] sulfite reductase (NADPH) activity|g__Zymomonas.s__Zymomonas_mobilis	5.942	0.0
GO:0004788: [MF] thiamine diphosphokinase activity	18.143	0.0
GO:0004788: [MF] thiamine diphosphokinase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	18.143	0.0
GO:0004789: [MF] thiamine-phosphate diphosphorylase activity	18.452	0.0
GO:0004789: [MF] thiamine-phosphate diphosphorylase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	9.273	0.0
GO:0004789: [MF] thiamine-phosphate diphosphorylase activity|g__Zymomonas.s__Zymomonas_mobilis	9.178	0.0
GO:0004791: [MF] thioredoxin-disulfide reductase activity	29.314	0.0
GO:0004791: [MF] thioredoxin-disulfide reductase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	24.254	0.0
GO:0004791: [MF] thioredoxin-disulfide reductase activity|g__Zymomonas.s__Zymomonas_mobilis	5.06	0.0
GO:0004792: [MF] thiosulfate sulfurtransferase activity	7.126	0.0
GO:0004792: [MF] thiosulfate sulfurtransferase activity|g__Zymomonas.s__Zymomonas_mobilis	7.126	0.0
GO:0004795: [MF] threonine synthase activity	4.181	0.0
GO:0004795: [MF] threonine synthase activity|g__Acinetobacter.s__Acinetobacter_boissieri	4.181	0.0
GO:0004797: [MF] thymidine kinase activity	32.873	0.0
GO:0004797: [MF] thymidine kinase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	32.873	0.0
GO:0004798: [MF] thymidylate kinase activity	40.781	0.0
GO:0004798: [MF] thymidylate kinase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	32.402	0.0
GO:0004798: [MF] thymidylate kinase activity|g__Zymomonas.s__Zymomonas_mobilis	8.379	0.0
GO:0004799: [MF] thymidylate synthase activity	40.677	0.0
GO:0004799: [MF] thymidylate synthase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	32.192	0.0
GO:0004799: [MF] thymidylate synthase activity|g__Zymomonas.s__Zymomonas_mobilis	8.485	0.0
GO:0004803: [MF] transposase activity	380.182	27.758
GO:0004803: [MF] transposase activity|g__Acetobacter.s__Acetobacter_orientalis	71.551	0.0
GO:0004803: [MF] transposase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	289.931	27.758
GO:0004803: [MF] transposase activity|g__Zymomonas.s__Zymomonas_mobilis	18.701	0.0
GO:0004806: [MF] triglyceride lipase activity	5.114	0.0
GO:0004806: [MF] triglyceride lipase activity|g__Zymomonas.s__Zymomonas_mobilis	5.114	0.0
GO:0004807: [MF] triose-phosphate isomerase activity	28.343	0.0
GO:0004807: [MF] triose-phosphate isomerase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	28.343	0.0
GO:0004810: [MF] tRNA adenylyltransferase activity	24.479	0.0
GO:0004810: [MF] tRNA adenylyltransferase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	24.479	0.0
GO:0004812: [MF] aminoacyl-tRNA ligase activity	95.574	0.0
GO:0004812: [MF] aminoacyl-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	90.12	0.0
GO:0004812: [MF] aminoacyl-tRNA ligase activity|g__Zymomonas.s__Zymomonas_mobilis	5.453	0.0
GO:0004813: [MF] alanine-tRNA ligase activity	26.239	0.0
GO:0004813: [MF] alanine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	19.679	0.0
GO:0004813: [MF] alanine-tRNA ligase activity|g__Zymomonas.s__Zymomonas_mobilis	6.56	0.0
GO:0004814: [MF] arginine-tRNA ligase activity	41.418	0.0
GO:0004814: [MF] arginine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	28.115	0.0
GO:0004814: [MF] arginine-tRNA ligase activity|g__Zymomonas.s__Zymomonas_mobilis	13.303	0.0
GO:0004815: [MF] aspartate-tRNA ligase activity	33.334	0.0
GO:0004815: [MF] aspartate-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	25.246	0.0
GO:0004815: [MF] aspartate-tRNA ligase activity|g__Zymomonas.s__Zymomonas_mobilis	8.088	0.0
GO:0004816: [MF] asparagine-tRNA ligase activity	31.652	0.0
GO:0004816: [MF] asparagine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	31.652	0.0
GO:0004817: [MF] cysteine-tRNA ligase activity	38.873	0.0
GO:0004817: [MF] cysteine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	32.186	0.0
GO:0004817: [MF] cysteine-tRNA ligase activity|g__Zymomonas.s__Zymomonas_mobilis	6.687	0.0
GO:0004818: [MF] glutamate-tRNA ligase activity	35.702	0.0
GO:0004818: [MF] glutamate-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	30.937	0.0
GO:0004818: [MF] glutamate-tRNA ligase activity|g__Zymomonas.s__Zymomonas_mobilis	4.765	0.0
GO:0004820: [MF] glycine-tRNA ligase activity	73.173	0.0
GO:0004820: [MF] glycine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	65.082	0.0
GO:0004820: [MF] glycine-tRNA ligase activity|g__Zymomonas.s__Zymomonas_mobilis	8.091	0.0
GO:0004821: [MF] histidine-tRNA ligase activity	22.755	0.0
GO:0004821: [MF] histidine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	22.755	0.0
GO:0004822: [MF] isoleucine-tRNA ligase activity	28.751	0.0
GO:0004822: [MF] isoleucine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	24.945	0.0
GO:0004822: [MF] isoleucine-tRNA ligase activity|g__Zymomonas.s__Zymomonas_mobilis	3.807	0.0
GO:0004823: [MF] leucine-tRNA ligase activity	26.96	0.0
GO:0004823: [MF] leucine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	26.96	0.0
GO:0004824: [MF] lysine-tRNA ligase activity	33.136	0.0
GO:0004824: [MF] lysine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	28.006	0.0
GO:0004824: [MF] lysine-tRNA ligase activity|g__Zymomonas.s__Zymomonas_mobilis	5.13	0.0
GO:0004825: [MF] methionine-tRNA ligase activity	37.622	0.0
GO:0004825: [MF] methionine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	32.539	0.0
GO:0004825: [MF] methionine-tRNA ligase activity|g__Zymomonas.s__Zymomonas_mobilis	5.084	0.0
GO:0004826: [MF] phenylalanine-tRNA ligase activity	98.328	0.0
GO:0004826: [MF] phenylalanine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	89.979	0.0
GO:0004826: [MF] phenylalanine-tRNA ligase activity|g__Zymomonas.s__Zymomonas_mobilis	8.349	0.0
GO:0004827: [MF] proline-tRNA ligase activity	37.595	0.0
GO:0004827: [MF] proline-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	31.668	0.0
GO:0004827: [MF] proline-tRNA ligase activity|g__Zymomonas.s__Zymomonas_mobilis	5.927	0.0
GO:0004828: [MF] serine-tRNA ligase activity	21.884	0.0
GO:0004828: [MF] serine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	21.884	0.0
GO:0004829: [MF] threonine-tRNA ligase activity	28.07	0.0
GO:0004829: [MF] threonine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	28.07	0.0
GO:0004830: [MF] tryptophan-tRNA ligase activity	25.714	0.0
GO:0004830: [MF] tryptophan-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	25.714	0.0
GO:0004831: [MF] tyrosine-tRNA ligase activity	27.307	0.0
GO:0004831: [MF] tyrosine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	22.591	0.0
GO:0004831: [MF] tyrosine-tRNA ligase activity|g__Zymomonas.s__Zymomonas_mobilis	4.716	0.0
GO:0004832: [MF] valine-tRNA ligase activity	61.813	0.0
GO:0004832: [MF] valine-tRNA ligase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	44.818	0.0
GO:0004832: [MF] valine-tRNA ligase activity|g__Zymomonas.s__Zymomonas_mobilis	16.995	0.0
GO:0004834: [MF] tryptophan synthase activity	20.668	0.0
GO:0004834: [MF] tryptophan synthase activity|g__Zymomonas.s__Zymomonas_mobilis	20.668	0.0
GO:0004844: [MF] uracil DNA N-glycosylase activity	22.337	0.0
GO:0004844: [MF] uracil DNA N-glycosylase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	22.337	0.0
GO:0004845: [MF] uracil phosphoribosyltransferase activity	42.132	4.344
GO:0004845: [MF] uracil phosphoribosyltransferase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	42.132	4.344
GO:0004849: [MF] uridine kinase activity	33.008	0.0
GO:0004849: [MF] uridine kinase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	33.008	0.0
GO:0004851: [MF] uroporphyrin-III C-methyltransferase activity	3.314	0.0
GO:0004851: [MF] uroporphyrin-III C-methyltransferase activity|g__Acetobacter.s__Acetobacter_orientalis	3.314	0.0
GO:0004852: [MF] uroporphyrinogen-III synthase activity	7.613	0.0
GO:0004852: [MF] uroporphyrinogen-III synthase activity|g__Zymomonas.s__Zymomonas_mobilis	7.613	0.0
GO:0004853: [MF] uroporphyrinogen decarboxylase activity	6.964	0.0
GO:0004853: [MF] uroporphyrinogen decarboxylase activity|g__Acetobacter.s__Acetobacter_orientalis	3.374	0.0
GO:0004853: [MF] uroporphyrinogen decarboxylase activity|g__Zymomonas.s__Zymomonas_mobilis	3.59	0.0
GO:0004888: [MF] transmembrane signaling receptor activity	10.015	0.0
GO:0004888: [MF] transmembrane signaling receptor activity|g__Zymomonas.s__Zymomonas_mobilis	10.015	0.0
GO:0004970: [MF] ionotropic glutamate receptor activity	32.818	0.0
GO:0004970: [MF] ionotropic glutamate receptor activity|g__Lactobacillus.s__Lactobacillus_kunkeei	32.818	0.0
GO:0005198: [MF] structural molecule activity	39.864	0.0
GO:0005198: [MF] structural molecule activity|g__Zymomonas.s__Zymomonas_mobilis	39.864	0.0
GO:0005215: [MF] transporter activity	153.479	0.0
GO:0005215: [MF] transporter activity|g__Acetobacter.s__Acetobacter_orientalis	5.016	0.0
GO:0005215: [MF] transporter activity|g__Lactobacillus.s__Lactobacillus_kunkeei	94.001	0.0
GO:0005215: [MF] transporter activity|g__Zymomonas.s__Zymomonas_mobilis	54.462	0.0
GO:0005247: [MF] voltage-gated chloride channel activity	32.435	0.0
GO:0005247: [MF] voltage-gated chloride channel activity|g__Lactobacillus.s__Lactobacillus_kunkeei	26.294	0.0
GO:0005247: [MF] voltage-gated chloride channel activity|g__Zymomonas.s__Zymomonas_mobilis	6.141	0.0
GO:0005249: [MF] voltage-gated potassium channel activity	24.501	0.0
GO:0005249: [MF] voltage-gated potassium channel activity|g__Lactobacillus.s__Lactobacillus_kunkeei	24.501	0.0
GO:0005315: [MF] inorganic phosphate transmembrane transporter activity	117.577	0.0
GO:0005315: [MF] inorganic phosphate transmembrane transporter activity|g__Lactobacillus.s__Lactobacillus_kunkeei	100.239	0.0
GO:0005315: [MF] inorganic phosphate transmembrane transporter activity|g__Zymomonas.s__Zymomonas_mobilis	17.338	0.0
GO:0005328: [MF] neurotransmitter:sodium symporter activity	29.929	0.0
GO:0005328: [MF] neurotransmitter:sodium symporter activity|g__Lactobacillus.s__Lactobacillus_kunkeei	29.929	0.0
GO:0005337: [MF] nucleoside transmembrane transporter activity	38.263	0.0
GO:0005337: [MF] nucleoside transmembrane transporter activity|g__Lactobacillus.s__Lactobacillus_kunkeei	30.259	0.0
GO:0005337: [MF] nucleoside transmembrane transporter activity|g__Zymomonas.s__Zymomonas_mobilis	8.004	0.0
GO:0005506: [MF] iron ion binding	152.703	8.006
GO:0005506: [MF] iron ion binding|g__Acetobacter.s__Acetobacter_orientalis	19.558	0.0
GO:0005506: [MF] iron ion binding|g__Lactobacillus.s__Lactobacillus_kunkeei	48.614	8.006
GO:0005506: [MF] iron ion binding|g__Zymomonas.s__Zymomonas_mobilis	84.531	0.0
GO:0005507: [MF] copper ion binding	30.71	0.0
GO:0005507: [MF] copper ion binding|g__Acetobacter.s__Acetobacter_orientalis	3.524	0.0
GO:0005507: [MF] copper ion binding|g__Lactobacillus.s__Lactobacillus_kunkeei	27.186	0.0
GO:0005509: [MF] calcium ion binding	32.538	0.0
GO:0005509: [MF] calcium ion binding|g__Zymomonas.s__Zymomonas_mobilis	32.538	0.0
GO:0005518: [MF] collagen binding	7.437	0.0
GO:0005518: [MF] collagen binding|g__Lactobacillus.s__Lactobacillus_kunkeei	7.437	0.0
GO:0005524: [MF] ATP binding	6212.26	22.074
GO:0005524: [MF] ATP binding|g__Acetobacter.s__Acetobacter_orientalis	59.197	0.0
GO:0005524: [MF] ATP binding|g__Acinetobacter.s__Acinetobacter_boissieri	35.166	0.0
GO:0005524: [MF] ATP binding|g__Lactobacillus.s__Lactobacillus_kunkeei	5252.893	22.074
GO:0005524: [MF] ATP binding|g__Zymomonas.s__Zymomonas_mobilis	865.002	0.0
GO:0005525: [MF] GTP binding	666.514	4.344
GO:0005525: [MF] GTP binding|g__Acinetobacter.s__Acinetobacter_boissieri	6.225	0.0
GO:0005525: [MF] GTP binding|g__Lactobacillus.s__Lactobacillus_kunkeei	599.953	4.344
GO:0005525: [MF] GTP binding|g__Zymomonas.s__Zymomonas_mobilis	60.336	0.0
GO:0005576: [CC] extracellular region	43.055	0.0
GO:0005576: [CC] extracellular region|g__Lactobacillus.s__Lactobacillus_kunkeei	37.544	0.0
GO:0005576: [CC] extracellular region|g__Zymomonas.s__Zymomonas_mobilis	5.512	0.0
GO:0005618: [CC] cell wall	7.437	0.0
GO:0005618: [CC] cell wall|g__Lactobacillus.s__Lactobacillus_kunkeei	7.437	0.0
GO:0005623: [CC] cell	469.405	25.227
GO:0005623: [CC] cell|g__Lactobacillus.s__Lactobacillus_kunkeei	439.646	25.227
GO:0005623: [CC] cell|g__Zymomonas.s__Zymomonas_mobilis	29.759	0.0
GO:0005694: [CC] chromosome	215.866	0.0
GO:0005694: [CC] chromosome|g__Acinetobacter.s__Acinetobacter_boissieri	8.065	0.0
GO:0005694: [CC] chromosome|g__Lactobacillus.s__Lactobacillus_kunkeei	167.288	0.0
GO:0005694: [CC] chromosome|g__Zymomonas.s__Zymomonas_mobilis	40.514	0.0
GO:0005737: [CC] cytoplasm	7262.046	20.096
GO:0005737: [CC] cytoplasm|g__Acetobacter.s__Acetobacter_orientalis	60.512	0.0
GO:0005737: [CC] cytoplasm|g__Acinetobacter.s__Acinetobacter_boissieri	52.114	0.0
GO:0005737: [CC] cytoplasm|g__Lactobacillus.s__Lactobacillus_kunkeei	6152.488	20.096
GO:0005737: [CC] cytoplasm|g__Zymomonas.s__Zymomonas_mobilis	996.932	0.0
GO:0005829: [CC] cytosol	83.989	0.0
GO:0005829: [CC] cytosol|g__Lactobacillus.s__Lactobacillus_kunkeei	55.132	0.0
GO:0005829: [CC] cytosol|g__Zymomonas.s__Zymomonas_mobilis	28.857	0.0
GO:0005840: [CC] ribosome	2605.489	34.052
GO:0005840: [CC] ribosome|g__Acetobacter.s__Acetobacter_orientalis	258.963	0.0
GO:0005840: [CC] ribosome|g__Acinetobacter.s__Acinetobacter_boissieri	171.744	0.0
GO:0005840: [CC] ribosome|g__Lactobacillus.s__Lactobacillus_kunkeei	1960.165	34.052
GO:0005840: [CC] ribosome|g__Zymomonas.s__Zymomonas_mobilis	214.618	0.0
GO:0005886: [CC] plasma membrane	2728.175	0.0
GO:0005886: [CC] plasma membrane|g__Acetobacter.s__Acetobacter_orientalis	90.929	0.0
GO:0005886: [CC] plasma membrane|g__Acinetobacter.s__Acinetobacter_boissieri	23.75	0.0
GO:0005886: [CC] plasma membrane|g__Lactobacillus.s__Lactobacillus_kunkeei	1861.274	0.0
GO:0005886: [CC] plasma membrane|g__Zymomonas.s__Zymomonas_mobilis	752.222	0.0
GO:0005887: [CC] integral component of plasma membrane	299.091	0.0
GO:0005887: [CC] integral component of plasma membrane|g__Acetobacter.s__Acetobacter_orientalis	10.899	0.0
GO:0005887: [CC] integral component of plasma membrane|g__Lactobacillus.s__Lactobacillus_kunkeei	218.707	0.0
GO:0005887: [CC] integral component of plasma membrane|g__Zymomonas.s__Zymomonas_mobilis	69.485	0.0
GO:0005940: [CC] septin ring	28.265	0.0
GO:0005940: [CC] septin ring|g__Lactobacillus.s__Lactobacillus_kunkeei	28.265	0.0
GO:0005960: [CC] glycine cleavage complex	6.667	0.0
GO:0005960: [CC] glycine cleavage complex|g__Acetobacter.s__Acetobacter_orientalis	6.667	0.0
GO:0005971: [CC] ribonucleoside-diphosphate reductase complex	19.553	0.0
GO:0005971: [CC] ribonucleoside-diphosphate reductase complex|g__Lactobacillus.s__Lactobacillus_kunkeei	19.553	0.0
GO:0005975: [BP] carbohydrate metabolic process	569.815	0.0
GO:0005975: [BP] carbohydrate metabolic process|g__Acetobacter.s__Acetobacter_orientalis	11.13	0.0
GO:0005975: [BP] carbohydrate metabolic process|g__Lactobacillus.s__Lactobacillus_kunkeei	441.331	0.0
GO:0005975: [BP] carbohydrate metabolic process|g__Zymomonas.s__Zymomonas_mobilis	117.354	0.0
GO:0005985: [BP] sucrose metabolic process	39.984	0.0
GO:0005985: [BP] sucrose metabolic process|g__Lactobacillus.s__Lactobacillus_kunkeei	33.937	0.0
GO:0005985: [BP] sucrose metabolic process|g__Zymomonas.s__Zymomonas_mobilis	6.047	0.0
GO:0006006: [BP] glucose metabolic process	68.221	0.0
GO:0006006: [BP] glucose metabolic process|g__Lactobacillus.s__Lactobacillus_kunkeei	49.353	0.0
GO:0006006: [BP] glucose metabolic process|g__Zymomonas.s__Zymomonas_mobilis	18.869	0.0
GO:0006011: [BP] UDP-glucose metabolic process	50.396	0.0
GO:0006011: [BP] UDP-glucose metabolic process|g__Lactobacillus.s__Lactobacillus_kunkeei	27.967	0.0
GO:0006011: [BP] UDP-glucose metabolic process|g__Zymomonas.s__Zymomonas_mobilis	22.429	0.0
GO:0006012: [BP] galactose metabolic process	24.022	0.0
GO:0006012: [BP] galactose metabolic process|g__Lactobacillus.s__Lactobacillus_kunkeei	24.022	0.0
GO:0006015: [BP] 5-phosphoribose 1-diphosphate biosynthetic process	28.332	0.0
GO:0006015: [BP] 5-phosphoribose 1-diphosphate biosynthetic process|g__Acinetobacter.s__Acinetobacter_boissieri	5.171	0.0
GO:0006015: [BP] 5-phosphoribose 1-diphosphate biosynthetic process|g__Lactobacillus.s__Lactobacillus_kunkeei	16.587	0.0
GO:0006015: [BP] 5-phosphoribose 1-diphosphate biosynthetic process|g__Zymomonas.s__Zymomonas_mobilis	6.574	0.0
GO:0006044: [BP] N-acetylglucosamine metabolic process	7.4	0.0
GO:0006044: [BP] N-acetylglucosamine metabolic process|g__Zymomonas.s__Zymomonas_mobilis	7.4	0.0
GO:0006048: [BP] UDP-N-acetylglucosamine biosynthetic process	35.186	0.0
GO:0006048: [BP] UDP-N-acetylglucosamine biosynthetic process|g__Lactobacillus.s__Lactobacillus_kunkeei	29.987	0.0
GO:0006048: [BP] UDP-N-acetylglucosamine biosynthetic process|g__Zymomonas.s__Zymomonas_mobilis	5.199	0.0
GO:0006069: [BP] ethanol oxidation	3.299	0.0
GO:0006069: [BP] ethanol oxidation|g__Acetobacter.s__Acetobacter_orientalis	3.299	0.0
GO:0006071: [BP] glycerol metabolic process	29.564	0.0
GO:0006071: [BP] glycerol metabolic process|g__Lactobacillus.s__Lactobacillus_kunkeei	29.564	0.0
GO:0006072: [BP] glycerol-3-phosphate metabolic process	18.322	0.0
GO:0006072: [BP] glycerol-3-phosphate metabolic process|g__Lactobacillus.s__Lactobacillus_kunkeei	18.322	0.0
GO:0006082: [BP] organic acid metabolic process	25.88	0.0
GO:0006082: [BP] organic acid metabolic process|g__Lactobacillus.s__Lactobacillus_kunkeei	25.88	0.0
GO:0006085: [BP] acetyl-CoA biosynthetic process	25.88	0.0
GO:0006085: [BP] acetyl-CoA biosynthetic process|g__Lactobacillus.s__Lactobacillus_kunkeei	25.88	0.0
GO:0006086: [BP] acetyl-CoA biosynthetic process from pyruvate	5.98	0.0
GO:0006086: [BP] acetyl-CoA biosynthetic process from pyruvate|g__Zymomonas.s__Zymomonas_mobilis	5.98	0.0
GO:0006091: [BP] generation of precursor metabolites and energy	3.056	0.0
GO:0006091: [BP] generation of precursor metabolites and energy|g__Zymomonas.s__Zymomonas_mobilis	3.056	0.0
GO:0006094: [BP] gluconeogenesis	110.819	7.756
GO:0006094: [BP] gluconeogenesis|g__Lactobacillus.s__Lactobacillus_kunkeei	102.781	7.756
GO:0006094: [BP] gluconeogenesis|g__Zymomonas.s__Zymomonas_mobilis	8.038	0.0
GO:0006096: [BP] glycolytic process	256.436	7.756
GO:0006096: [BP] glycolytic process|g__Acinetobacter.s__Acinetobacter_boissieri	7.743	0.0
GO:0006096: [BP] glycolytic process|g__Lactobacillus.s__Lactobacillus_kunkeei	207.422	7.756
GO:0006096: [BP] glycolytic process|g__Zymomonas.s__Zymomonas_mobilis	41.272	0.0
GO:0006097: [BP] glyoxylate cycle	6.454	0.0
GO:0006097: [BP] glyoxylate cycle|g__Zymomonas.s__Zymomonas_mobilis	6.454	0.0
GO:0006098: [BP] pentose-phosphate shunt	105.631	0.0
GO:0006098: [BP] pentose-phosphate shunt|g__Lactobacillus.s__Lactobacillus_kunkeei	72.143	0.0
GO:0006098: [BP] pentose-phosphate shunt|g__Zymomonas.s__Zymomonas_mobilis	33.488	0.0
GO:0006099: [BP] tricarboxylic acid cycle	110.112	0.0
GO:0006099: [BP] tricarboxylic acid cycle|g__Lactobacillus.s__Lactobacillus_kunkeei	82.198	0.0
GO:0006099: [BP] tricarboxylic acid cycle|g__Zymomonas.s__Zymomonas_mobilis	27.914	0.0
GO:0006106: [BP] fumarate metabolic process	26.907	0.0
GO:0006106: [BP] fumarate metabolic process|g__Lactobacillus.s__Lactobacillus_kunkeei	26.907	0.0
GO:0006107: [BP] oxaloacetate metabolic process	33.823	0.0
GO:0006107: [BP] oxaloacetate metabolic process|g__Lactobacillus.s__Lactobacillus_kunkeei	26.579	0.0
GO:0006107: [BP] oxaloacetate metabolic process|g__Zymomonas.s__Zymomonas_mobilis	7.244	0.0
GO:0006109: [BP] regulation of carbohydrate metabolic process	29.344	0.0
GO:0006109: [BP] regulation of carbohydrate metabolic process|g__Lactobacillus.s__Lactobacillus_kunkeei	29.344	0.0
GO:0006139: [BP] nucleobase-containing compound metabolic process	29.781	0.0
GO:0006139: [BP] nucleobase-containing compound metabolic process|g__Lactobacillus.s__Lactobacillus_kunkeei	24.278	0.0
GO:0006139: [BP] nucleobase-containing compound metabolic process|g__Zymomonas.s__Zymomonas_mobilis	5.503	0.0
GO:0006146: [BP] adenine catabolic process	24.862	0.0
GO:0006146: [BP] adenine catabolic process|g__Lactobacillus.s__Lactobacillus_kunkeei	16.284	0.0
GO:0006146: [BP] adenine catabolic process|g__Zymomonas.s__Zymomonas_mobilis	8.578	0.0
GO:0006147: [BP] guanine catabolic process	5.446	0.0
GO:0006147: [BP] guanine catabolic process|g__Zymomonas.s__Zymomonas_mobilis	5.446	0.0
GO:0006163: [BP] purine nucleotide metabolic process	27.66	0.0
GO:0006163: [BP] purine nucleotide metabolic process|g__Lactobacillus.s__Lactobacillus_kunkeei	27.66	0.0
GO:0006164: [BP] purine nucleotide biosynthetic process	32.415	0.0
GO:0006164: [BP] purine nucleotide biosynthetic process|g__Lactobacillus.s__Lactobacillus_kunkeei	23.894	0.0
GO:0006164: [BP] purine nucleotide biosynthetic process|g__Zymomonas.s__Zymomonas_mobilis	8.521	0.0
GO:0006166: [BP] purine ribonucleoside salvage	79.419	0.0
GO:0006166: [BP] purine ribonucleoside salvage|g__Lactobacillus.s__Lactobacillus_kunkeei	79.419	0.0
GO:0006168: [BP] adenine salvage	32.375	0.0
GO:0006168: [BP] adenine salvage|g__Lactobacillus.s__Lactobacillus_kunkeei	32.375	0.0
GO:0006171: [BP] cAMP biosynthetic process	29.772	0.0
GO:0006171: [BP] cAMP biosynthetic process|g__Lactobacillus.s__Lactobacillus_kunkeei	29.772	0.0
GO:0006177: [BP] GMP biosynthetic process	33.936	0.0
GO:0006177: [BP] GMP biosynthetic process|g__Lactobacillus.s__Lactobacillus_kunkeei	23.564	0.0
GO:0006177: [BP] GMP biosynthetic process|g__Zymomonas.s__Zymomonas_mobilis	10.372	0.0
GO:0006189: [BP] 'de novo' IMP biosynthetic process	360.481	0.0
