"GO_description"	"Species"	"Frequency"
"393"	"transmembrane signaling receptor activity"	"Klebsiella oxytoca"	0
"394"	"transmembrane transport"	"Klebsiella oxytoca"	0
"395"	"transmembrane transporter activity"	"Klebsiella oxytoca"	0
"396"	"transporter activity"	"Klebsiella oxytoca"	0
"397"	"transposase activity"	"Klebsiella oxytoca"	0
"398"	"transposition, DNA-mediated"	"Klebsiella oxytoca"	0
"399"	"tricarboxylic acid cycle"	"Klebsiella oxytoca"	0
"400"	"tRNA binding"	"Klebsiella oxytoca"	0
"401"	"type II protein secretion system complex"	"Klebsiella oxytoca"	0
"402"	"UDP-glucose 4-epimerase activity"	"Klebsiella oxytoca"	0
"403"	"UDP-glucose metabolic process"	"Klebsiella oxytoca"	0
"404"	"unfolded protein binding"	"Klebsiella oxytoca"	0
"405"	"uracil transmembrane transporter activity"	"Klebsiella oxytoca"	0
"406"	"valine-tRNA ligase activity"	"Klebsiella oxytoca"	0
"407"	"valyl-tRNA aminoacylation"	"Klebsiella oxytoca"	0
"408"	"zinc ion binding"	"Klebsiella oxytoca"	0
"409"	"3-oxoacyl-[acyl-carrier-protein] synthase activity"	"Leuconostoc pseudomesenteroides"	5.49352048389024
"410"	"3'-5' exonuclease activity"	"Leuconostoc pseudomesenteroides"	6.20688972169667
"411"	"3'-tRNA processing endoribonuclease activity"	"Leuconostoc pseudomesenteroides"	5.06624666847655
"412"	"4 iron, 4 sulfur cluster binding"	"Leuconostoc pseudomesenteroides"	0
"413"	"acetyltransferase activity"	"Leuconostoc pseudomesenteroides"	5.67663783335324
"414"	"acid phosphatase activity"	"Leuconostoc pseudomesenteroides"	0
"415"	"alcohol dehydrogenase (NAD) activity"	"Leuconostoc pseudomesenteroides"	0
"416"	"aldose 1-epimerase activity"	"Leuconostoc pseudomesenteroides"	0
"417"	"amino acid-transporting ATPase activity"	"Leuconostoc pseudomesenteroides"	6.34806811471761
"418"	"aminoacyl-tRNA editing activity"	"Leuconostoc pseudomesenteroides"	7.10153013291399
"419"	"aminopeptidase activity"	"Leuconostoc pseudomesenteroides"	0
"420"	"antiporter activity"	"Leuconostoc pseudomesenteroides"	0
"421"	"arginine biosynthetic process via ornithine"	"Leuconostoc pseudomesenteroides"	0
"422"	"argininosuccinate lyase activity"	"Leuconostoc pseudomesenteroides"	0
"423"	"aromatic amino acid family biosynthetic process"	"Leuconostoc pseudomesenteroides"	6.77534193013129
"424"	"arsenite transmembrane transporter activity"	"Leuconostoc pseudomesenteroides"	0
"425"	"ATP binding"	"Leuconostoc pseudomesenteroides"	184.261509311274
"426"	"ATP phosphoribosyltransferase activity"	"Leuconostoc pseudomesenteroides"	0
"427"	"ATP-binding cassette (ABC) transporter complex"	"Leuconostoc pseudomesenteroides"	10.745653765908
"428"	"ATP-dependent DNA helicase activity"	"Leuconostoc pseudomesenteroides"	9.40002393910107
"429"	"ATPase activity"	"Leuconostoc pseudomesenteroides"	25.9235400037332
"430"	"ATPase activity, coupled to transmembrane movement of substances"	"Leuconostoc pseudomesenteroides"	7.94211353967621
"431"	"bacterial-type flagellum-dependent cell motility"	"Leuconostoc pseudomesenteroides"	0
"432"	"barrier septum assembly"	"Leuconostoc pseudomesenteroides"	0
"433"	"beta-ketoacyl-acyl-carrier-protein synthase III activity"	"Leuconostoc pseudomesenteroides"	5.06624666847655
"434"	"biosynthetic process"	"Leuconostoc pseudomesenteroides"	0
"435"	"biotin biosynthetic process"	"Leuconostoc pseudomesenteroides"	0
"436"	"carbohydrate binding"	"Leuconostoc pseudomesenteroides"	0
"437"	"carbohydrate metabolic process"	"Leuconostoc pseudomesenteroides"	16.4540442692137
"438"	"carbohydrate transmembrane transporter activity"	"Leuconostoc pseudomesenteroides"	0
"439"	"carboxypeptidase activity"	"Leuconostoc pseudomesenteroides"	0
"440"	"catalytic activity"	"Leuconostoc pseudomesenteroides"	10.3156106864161
"441"	"cation transmembrane transporter activity"	"Leuconostoc pseudomesenteroides"	0
"442"	"cell adhesion"	"Leuconostoc pseudomesenteroides"	0
"443"	"cell cycle"	"Leuconostoc pseudomesenteroides"	11.6325208467847
"444"	"cell division"	"Leuconostoc pseudomesenteroides"	17.4868763541844
"445"	"cell morphogenesis"	"Leuconostoc pseudomesenteroides"	11.4143147831942
"446"	"cell outer membrane"	"Leuconostoc pseudomesenteroides"	0
"447"	"cell wall organization"	"Leuconostoc pseudomesenteroides"	18.6169305287391
"448"	"cellular response to starvation"	"Leuconostoc pseudomesenteroides"	0
"449"	"cellulose biosynthetic process"	"Leuconostoc pseudomesenteroides"	0
"450"	"chemotaxis"	"Leuconostoc pseudomesenteroides"	0
"451"	"chromosome"	"Leuconostoc pseudomesenteroides"	9.06993291204663
"452"	"chromosome segregation"	"Leuconostoc pseudomesenteroides"	5.19249844818154
"453"	"coenzyme binding"	"Leuconostoc pseudomesenteroides"	0
"454"	"conjugation"	"Leuconostoc pseudomesenteroides"	0
"455"	"copper ion binding"	"Leuconostoc pseudomesenteroides"	0
"456"	"cytochrome o ubiquinol oxidase activity"	"Leuconostoc pseudomesenteroides"	0
"457"	"cytochrome-c oxidase activity"	"Leuconostoc pseudomesenteroides"	0
"458"	"cytoplasm"	"Leuconostoc pseudomesenteroides"	152.292241925713
"459"	"D-gluconate metabolic process"	"Leuconostoc pseudomesenteroides"	9.52210217207641
"460"	"damaged DNA binding"	"Leuconostoc pseudomesenteroides"	6.9584592795943
"461"	"DNA binding"	"Leuconostoc pseudomesenteroides"	61.3942164768987
"462"	"DNA helicase activity"	"Leuconostoc pseudomesenteroides"	0
"463"	"DNA integration"	"Leuconostoc pseudomesenteroides"	0
"464"	"DNA ligase (NAD+) activity"	"Leuconostoc pseudomesenteroides"	0
"465"	"DNA recombination"	"Leuconostoc pseudomesenteroides"	9.94937598749009
"466"	"DNA repair"	"Leuconostoc pseudomesenteroides"	13.6541894120643
"467"	"DNA replication"	"Leuconostoc pseudomesenteroides"	16.3285374235702
"468"	"DNA topoisomerase type II (ATP-hydrolyzing) activity"	"Leuconostoc pseudomesenteroides"	6.03088635398425
"469"	"DNA topological change"	"Leuconostoc pseudomesenteroides"	9.50212520825138
"470"	"DNA unwinding involved in DNA replication"	"Leuconostoc pseudomesenteroides"	6.40910723120528
"471"	"DNA-dependent DNA replication"	"Leuconostoc pseudomesenteroides"	7.85740510725928
"472"	"DNA-directed DNA polymerase activity"	"Leuconostoc pseudomesenteroides"	7.29162959440957
"473"	"DNA-directed RNA polymerase activity"	"Leuconostoc pseudomesenteroides"	9.27794570612573
"474"	"double-strand break repair via homologous recombination"	"Leuconostoc pseudomesenteroides"	0
"475"	"drug transmembrane transporter activity"	"Leuconostoc pseudomesenteroides"	0
"476"	"electron carrier activity"	"Leuconostoc pseudomesenteroides"	0
"477"	"endoribonuclease activity"	"Leuconostoc pseudomesenteroides"	5.00520755198888
"478"	"exodeoxyribonuclease V activity"	"Leuconostoc pseudomesenteroides"	0
"479"	"fatty acid biosynthetic process"	"Leuconostoc pseudomesenteroides"	9.5759417213421
"480"	"flavin adenine dinucleotide binding"	"Leuconostoc pseudomesenteroides"	5.31040313442723
"481"	"FtsZ-dependent cytokinesis"	"Leuconostoc pseudomesenteroides"	0
"482"	"galactose binding"	"Leuconostoc pseudomesenteroides"	0
"483"	"galactose metabolic process"	"Leuconostoc pseudomesenteroides"	0
"484"	"galactose transport"	"Leuconostoc pseudomesenteroides"	0
"485"	"glutamate-ammonia ligase activity"	"Leuconostoc pseudomesenteroides"	0
"486"	"glutamine biosynthetic process"	"Leuconostoc pseudomesenteroides"	0
"487"	"glutamine metabolic process"	"Leuconostoc pseudomesenteroides"	0
"488"	"glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity"	"Leuconostoc pseudomesenteroides"	6.1649507652546
"489"	"glycolytic process"	"Leuconostoc pseudomesenteroides"	0
"490"	"Gram-negative-bacterium-type cell wall"	"Leuconostoc pseudomesenteroides"	0
"491"	"GTP binding"	"Leuconostoc pseudomesenteroides"	13.5079606685343
"492"	"GTPase activity"	"Leuconostoc pseudomesenteroides"	11.1787691501387
"493"	"helicase activity"	"Leuconostoc pseudomesenteroides"	6.1649507652546
"494"	"histidine biosynthetic process"	"Leuconostoc pseudomesenteroides"	6.82931334911501
"495"	"hydrolase activity"	"Leuconostoc pseudomesenteroides"	17.5145873471253
"496"	"hydrolase activity, hydrolyzing O-glycosyl compounds"	"Leuconostoc pseudomesenteroides"	0
"497"	"imidazoleglycerol-phosphate synthase activity"	"Leuconostoc pseudomesenteroides"	0
"498"	"inorganic phosphate transmembrane transporter activity"	"Leuconostoc pseudomesenteroides"	0
"499"	"integral component of membrane"	"Leuconostoc pseudomesenteroides"	166.999564376299
"500"	"integral component of plasma membrane"	"Leuconostoc pseudomesenteroides"	8.60651542476137
"501"	"iron ion binding"	"Leuconostoc pseudomesenteroides"	0
"502"	"isoleucine biosynthetic process"	"Leuconostoc pseudomesenteroides"	0
"503"	"isomerase activity"	"Leuconostoc pseudomesenteroides"	0
"504"	"kinase activity"	"Leuconostoc pseudomesenteroides"	11.5355624966367
"505"	"lipid A biosynthetic process"	"Leuconostoc pseudomesenteroides"	5.43248136740257
"506"	"lipoteichoic acid biosynthetic process"	"Leuconostoc pseudomesenteroides"	5.12728578496422
"507"	"lyase activity"	"Leuconostoc pseudomesenteroides"	5.85975518281625
"508"	"magnesium ion binding"	"Leuconostoc pseudomesenteroides"	29.2433678942432
"509"	"membrane"	"Leuconostoc pseudomesenteroides"	0
"510"	"menaquinone biosynthetic process"	"Leuconostoc pseudomesenteroides"	5.3714422509149
"511"	"metal ion binding"	"Leuconostoc pseudomesenteroides"	51.1091183657046
"512"	"metal ion transport"	"Leuconostoc pseudomesenteroides"	0
"513"	"metalloendopeptidase activity"	"Leuconostoc pseudomesenteroides"	10.0460312969773
"514"	"methionine biosynthetic process"	"Leuconostoc pseudomesenteroides"	5.04640157436953
"515"	"mismatch repair"	"Leuconostoc pseudomesenteroides"	5.80759063865991
"516"	"mismatched DNA binding"	"Leuconostoc pseudomesenteroides"	5.72301407596098
"517"	"Mo-molybdopterin cofactor biosynthetic process"	"Leuconostoc pseudomesenteroides"	0
"518"	"NAD binding"	"Leuconostoc pseudomesenteroides"	8.77791033536539
"519"	"NADH dehydrogenase (ubiquinone) activity"	"Leuconostoc pseudomesenteroides"	0
"520"	"NADP binding"	"Leuconostoc pseudomesenteroides"	9.03796278690472
"521"	"negative regulation of transcription, DNA-templated"	"Leuconostoc pseudomesenteroides"	0
"522"	"negative regulation of translational elongation"	"Leuconostoc pseudomesenteroides"	0
"523"	"nickel cation transmembrane transporter activity"	"Leuconostoc pseudomesenteroides"	0
"524"	"nitrogen compound transport"	"Leuconostoc pseudomesenteroides"	0
"525"	"novo' IMP biosynthetic process"	"Leuconostoc pseudomesenteroides"	8.36266898249334
"526"	"novo' pyrimidine nucleobase biosynthetic process"	"Leuconostoc pseudomesenteroides"	6.59222458066828
"527"	"novo' UMP biosynthetic process"	"Leuconostoc pseudomesenteroides"	7.62988956095866
"528"	"nucleic acid binding"	"Leuconostoc pseudomesenteroides"	16.6782630725641
"529"	"nucleotide binding"	"Leuconostoc pseudomesenteroides"	13.0841547670136
"530"	"outer membrane-bounded periplasmic space"	"Leuconostoc pseudomesenteroides"	0
"531"	"oxidoreductase activity"	"Leuconostoc pseudomesenteroides"	18.2827585234483
"532"	"oxidoreductase activity, acting on CH-OH group of donors"	"Leuconostoc pseudomesenteroides"	0
"533"	"penicillin binding"	"Leuconostoc pseudomesenteroides"	5.67663783335324
"534"	"pentose-phosphate shunt"	"Leuconostoc pseudomesenteroides"	8.42339807529836
"535"	"pentose-phosphate shunt, non-oxidative branch"	"Leuconostoc pseudomesenteroides"	7.751967793934
"536"	"peptidase activity"	"Leuconostoc pseudomesenteroides"	7.99612425988468
"537"	"peptidoglycan biosynthetic process"	"Leuconostoc pseudomesenteroides"	17.4571873154734
"538"	"peptidoglycan glycosyltransferase activity"	"Leuconostoc pseudomesenteroides"	0
"539"	"peptidoglycan metabolic process"	"Leuconostoc pseudomesenteroides"	0
"540"	"periplasmic space"	"Leuconostoc pseudomesenteroides"	0
"541"	"phosphate ion binding"	"Leuconostoc pseudomesenteroides"	0
"542"	"phosphate ion transmembrane transport"	"Leuconostoc pseudomesenteroides"	0
"543"	"phosphate ion transport"	"Leuconostoc pseudomesenteroides"	0
"544"	"phosphoenolpyruvate-dependent sugar phosphotransferase system"	"Leuconostoc pseudomesenteroides"	18.7305830658057
"545"	"phosphogluconate dehydrogenase (decarboxylating) activity"	"Leuconostoc pseudomesenteroides"	8.60651542476137
"546"	"phosphoglycerate mutase activity"	"Leuconostoc pseudomesenteroides"	0
"547"	"phosphorelay sensor kinase activity"	"Leuconostoc pseudomesenteroides"	0
"548"	"phosphorelay signal transduction system"	"Leuconostoc pseudomesenteroides"	7.1608156418428
"549"	"plasma membrane"	"Leuconostoc pseudomesenteroides"	45.8929575846157
"550"	"plasmid maintenance"	"Leuconostoc pseudomesenteroides"	0
"551"	"positive regulation of proteolysis"	"Leuconostoc pseudomesenteroides"	0
"552"	"potassium ion transport"	"Leuconostoc pseudomesenteroides"	0
"553"	"protein dimerization activity"	"Leuconostoc pseudomesenteroides"	0
"554"	"protein folding"	"Leuconostoc pseudomesenteroides"	7.50781132798332
"555"	"protein secretion by the type II secretion system"	"Leuconostoc pseudomesenteroides"	0
"556"	"protein transporter activity"	"Leuconostoc pseudomesenteroides"	0
"557"	"protein-N(PI)-phosphohistidine-sugar phosphotransferase activity"	"Leuconostoc pseudomesenteroides"	11.1444716543194
"558"	"pyridoxal phosphate binding"	"Leuconostoc pseudomesenteroides"	9.79967933006711
"559"	"quinone binding"	"Leuconostoc pseudomesenteroides"	0
"560"	"quinoprotein glucose dehydrogenase activity"	"Leuconostoc pseudomesenteroides"	0
"561"	"regulation of cell shape"	"Leuconostoc pseudomesenteroides"	20.5701822563446
"562"	"regulation of gene expression"	"Leuconostoc pseudomesenteroides"	0
"563"	"regulation of transcription, DNA-templated"	"Leuconostoc pseudomesenteroides"	9.84846852882376
"564"	"respiratory chain"	"Leuconostoc pseudomesenteroides"	0
"565"	"response to arsenic-containing substance"	"Leuconostoc pseudomesenteroides"	0
"566"	"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"	"Leuconostoc pseudomesenteroides"	5.55455960037791
"567"	"ribose-5-phosphate isomerase activity"	"Leuconostoc pseudomesenteroides"	7.751967793934
"568"	"ribosome"	"Leuconostoc pseudomesenteroides"	15.0766617724543
"569"	"RNA binding"	"Leuconostoc pseudomesenteroides"	17.4550843830072
"570"	"RNA methyltransferase activity"	"Leuconostoc pseudomesenteroides"	7.14157662905731
"571"	"RNA processing"	"Leuconostoc pseudomesenteroides"	7.20261574554498
"572"	"rRNA binding"	"Leuconostoc pseudomesenteroides"	6.51520389312059
"573"	"rRNA processing"	"Leuconostoc pseudomesenteroides"	6.34806811471761
"574"	"sequence-specific DNA binding"	"Leuconostoc pseudomesenteroides"	0
"575"	"serine-type D-Ala-D-Ala carboxypeptidase activity"	"Leuconostoc pseudomesenteroides"	0
"576"	"serine-type endopeptidase activity"	"Leuconostoc pseudomesenteroides"	0
"577"	"siderophore transport"	"Leuconostoc pseudomesenteroides"	0
"578"	"signal transduction"	"Leuconostoc pseudomesenteroides"	0
"579"	"signaling receptor activity"	"Leuconostoc pseudomesenteroides"	0
"580"	"single-stranded DNA binding"	"Leuconostoc pseudomesenteroides"	5.24936401793956
"581"	"sorbitol-6-phosphate 2-dehydrogenase activity"	"Leuconostoc pseudomesenteroides"	0
"582"	"SOS response"	"Leuconostoc pseudomesenteroides"	10.5597671523668
"583"	"structural constituent of ribosome"	"Leuconostoc pseudomesenteroides"	10.2622593147977
"584"	"sugar:proton symporter activity"	"Leuconostoc pseudomesenteroides"	0
"585"	"thiamine biosynthetic process"	"Leuconostoc pseudomesenteroides"	0
"586"	"thiamine pyrophosphate binding"	"Leuconostoc pseudomesenteroides"	5.46928438786418
"587"	"thiamine transmembrane transport"	"Leuconostoc pseudomesenteroides"	0
"588"	"thiamine transport"	"Leuconostoc pseudomesenteroides"	0
"589"	"thiamine-transporting ATPase activity"	"Leuconostoc pseudomesenteroides"	0
"590"	"transaminase activity"	"Leuconostoc pseudomesenteroides"	0
"591"	"transcription factor activity, sequence-specific DNA binding"	"Leuconostoc pseudomesenteroides"	12.063572599774
"592"	"transcription factor binding"	"Leuconostoc pseudomesenteroides"	0
"593"	"transcription, DNA-templated"	"Leuconostoc pseudomesenteroides"	9.15586747315039
"594"	"transferase activity"	"Leuconostoc pseudomesenteroides"	21.1541881084823
"595"	"translation"	"Leuconostoc pseudomesenteroides"	15.2426570076418
"596"	"translation elongation factor activity"	"Leuconostoc pseudomesenteroides"	0
"597"	"transmembrane signaling receptor activity"	"Leuconostoc pseudomesenteroides"	0
"598"	"transmembrane transport"	"Leuconostoc pseudomesenteroides"	23.9205366881203
"599"	"transmembrane transporter activity"	"Leuconostoc pseudomesenteroides"	26.6363817626676
"600"	"transporter activity"	"Leuconostoc pseudomesenteroides"	0
"601"	"transposase activity"	"Leuconostoc pseudomesenteroides"	0
"602"	"transposition, DNA-mediated"	"Leuconostoc pseudomesenteroides"	0
"603"	"tricarboxylic acid cycle"	"Leuconostoc pseudomesenteroides"	5.92079429930392
"604"	"tRNA binding"	"Leuconostoc pseudomesenteroides"	11.1274351255152
"605"	"type II protein secretion system complex"	"Leuconostoc pseudomesenteroides"	0
"606"	"UDP-glucose 4-epimerase activity"	"Leuconostoc pseudomesenteroides"	0
"607"	"UDP-glucose metabolic process"	"Leuconostoc pseudomesenteroides"	0
"608"	"unfolded protein binding"	"Leuconostoc pseudomesenteroides"	8.72859365773671
"609"	"uracil transmembrane transporter activity"	"Leuconostoc pseudomesenteroides"	6.22598988174227
"610"	"valine-tRNA ligase activity"	"Leuconostoc pseudomesenteroides"	6.10391164876693
"611"	"valyl-tRNA aminoacylation"	"Leuconostoc pseudomesenteroides"	6.10391164876693
"612"	"zinc ion binding"	"Leuconostoc pseudomesenteroides"	26.6588642511348
"613"	"3-oxoacyl-[acyl-carrier-protein] synthase activity"	"Sodalis glossinidius"	0
"614"	"3'-5' exonuclease activity"	"Sodalis glossinidius"	0
"615"	"3'-tRNA processing endoribonuclease activity"	"Sodalis glossinidius"	0
"616"	"4 iron, 4 sulfur cluster binding"	"Sodalis glossinidius"	0
"617"	"acetyltransferase activity"	"Sodalis glossinidius"	0
"618"	"acid phosphatase activity"	"Sodalis glossinidius"	0
"619"	"alcohol dehydrogenase (NAD) activity"	"Sodalis glossinidius"	0
"620"	"aldose 1-epimerase activity"	"Sodalis glossinidius"	0
"621"	"amino acid-transporting ATPase activity"	"Sodalis glossinidius"	0
"622"	"aminoacyl-tRNA editing activity"	"Sodalis glossinidius"	0
"623"	"aminopeptidase activity"	"Sodalis glossinidius"	0
"624"	"antiporter activity"	"Sodalis glossinidius"	0
"625"	"arginine biosynthetic process via ornithine"	"Sodalis glossinidius"	0
"626"	"argininosuccinate lyase activity"	"Sodalis glossinidius"	0
"627"	"aromatic amino acid family biosynthetic process"	"Sodalis glossinidius"	0
"628"	"arsenite transmembrane transporter activity"	"Sodalis glossinidius"	0
"629"	"ATP binding"	"Sodalis glossinidius"	10.0714542204654
"630"	"ATP phosphoribosyltransferase activity"	"Sodalis glossinidius"	0
"631"	"ATP-binding cassette (ABC) transporter complex"	"Sodalis glossinidius"	0
"632"	"ATP-dependent DNA helicase activity"	"Sodalis glossinidius"	0
"633"	"ATPase activity"	"Sodalis glossinidius"	0
"634"	"ATPase activity, coupled to transmembrane movement of substances"	"Sodalis glossinidius"	0
"635"	"bacterial-type flagellum-dependent cell motility"	"Sodalis glossinidius"	0
"636"	"barrier septum assembly"	"Sodalis glossinidius"	0
"637"	"beta-ketoacyl-acyl-carrier-protein synthase III activity"	"Sodalis glossinidius"	0
"638"	"biosynthetic process"	"Sodalis glossinidius"	0
"639"	"biotin biosynthetic process"	"Sodalis glossinidius"	0
"640"	"carbohydrate binding"	"Sodalis glossinidius"	0
"641"	"carbohydrate metabolic process"	"Sodalis glossinidius"	0
"642"	"carbohydrate transmembrane transporter activity"	"Sodalis glossinidius"	0
"643"	"carboxypeptidase activity"	"Sodalis glossinidius"	0
"644"	"catalytic activity"	"Sodalis glossinidius"	0
"645"	"cation transmembrane transporter activity"	"Sodalis glossinidius"	0
"646"	"cell adhesion"	"Sodalis glossinidius"	0
"647"	"cell cycle"	"Sodalis glossinidius"	0
"648"	"cell division"	"Sodalis glossinidius"	0
"649"	"cell morphogenesis"	"Sodalis glossinidius"	0
"650"	"cell outer membrane"	"Sodalis glossinidius"	0
"651"	"cell wall organization"	"Sodalis glossinidius"	0
"652"	"cellular response to starvation"	"Sodalis glossinidius"	0
"653"	"cellulose biosynthetic process"	"Sodalis glossinidius"	0
"654"	"chemotaxis"	"Sodalis glossinidius"	0
"655"	"chromosome"	"Sodalis glossinidius"	0
"656"	"chromosome segregation"	"Sodalis glossinidius"	0
"657"	"coenzyme binding"	"Sodalis glossinidius"	0
"658"	"conjugation"	"Sodalis glossinidius"	10.0714542204654
"659"	"copper ion binding"	"Sodalis glossinidius"	0
"660"	"cytochrome o ubiquinol oxidase activity"	"Sodalis glossinidius"	0
"661"	"cytochrome-c oxidase activity"	"Sodalis glossinidius"	0
"662"	"cytoplasm"	"Sodalis glossinidius"	0
"663"	"D-gluconate metabolic process"	"Sodalis glossinidius"	0
"664"	"damaged DNA binding"	"Sodalis glossinidius"	0
"665"	"DNA binding"	"Sodalis glossinidius"	60.1545977265358
"666"	"DNA helicase activity"	"Sodalis glossinidius"	10.0714542204654
"667"	"DNA integration"	"Sodalis glossinidius"	188.409203462234
"668"	"DNA ligase (NAD+) activity"	"Sodalis glossinidius"	0
"669"	"DNA recombination"	"Sodalis glossinidius"	0
"670"	"DNA repair"	"Sodalis glossinidius"	0
"671"	"DNA replication"	"Sodalis glossinidius"	0
"672"	"DNA topoisomerase type II (ATP-hydrolyzing) activity"	"Sodalis glossinidius"	0
"673"	"DNA topological change"	"Sodalis glossinidius"	0
"674"	"DNA unwinding involved in DNA replication"	"Sodalis glossinidius"	0
"675"	"DNA-dependent DNA replication"	"Sodalis glossinidius"	0
"676"	"DNA-directed DNA polymerase activity"	"Sodalis glossinidius"	0
"677"	"DNA-directed RNA polymerase activity"	"Sodalis glossinidius"	0
"678"	"double-strand break repair via homologous recombination"	"Sodalis glossinidius"	0
"679"	"drug transmembrane transporter activity"	"Sodalis glossinidius"	0
"680"	"electron carrier activity"	"Sodalis glossinidius"	0
"681"	"endoribonuclease activity"	"Sodalis glossinidius"	0
"682"	"exodeoxyribonuclease V activity"	"Sodalis glossinidius"	0
"683"	"fatty acid biosynthetic process"	"Sodalis glossinidius"	0
"684"	"flavin adenine dinucleotide binding"	"Sodalis glossinidius"	0
"685"	"FtsZ-dependent cytokinesis"	"Sodalis glossinidius"	0
"686"	"galactose binding"	"Sodalis glossinidius"	0
"687"	"galactose metabolic process"	"Sodalis glossinidius"	0
"688"	"galactose transport"	"Sodalis glossinidius"	0
"689"	"glutamate-ammonia ligase activity"	"Sodalis glossinidius"	0
"690"	"glutamine biosynthetic process"	"Sodalis glossinidius"	0
"691"	"glutamine metabolic process"	"Sodalis glossinidius"	0
"692"	"glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity"	"Sodalis glossinidius"	0
"693"	"glycolytic process"	"Sodalis glossinidius"	0
"694"	"Gram-negative-bacterium-type cell wall"	"Sodalis glossinidius"	0
"695"	"GTP binding"	"Sodalis glossinidius"	0
"696"	"GTPase activity"	"Sodalis glossinidius"	0
"697"	"helicase activity"	"Sodalis glossinidius"	0
"698"	"histidine biosynthetic process"	"Sodalis glossinidius"	0
"699"	"hydrolase activity"	"Sodalis glossinidius"	0
"700"	"hydrolase activity, hydrolyzing O-glycosyl compounds"	"Sodalis glossinidius"	0
"701"	"imidazoleglycerol-phosphate synthase activity"	"Sodalis glossinidius"	0
"702"	"inorganic phosphate transmembrane transporter activity"	"Sodalis glossinidius"	0
"703"	"integral component of membrane"	"Sodalis glossinidius"	0
"704"	"integral component of plasma membrane"	"Sodalis glossinidius"	0
"705"	"iron ion binding"	"Sodalis glossinidius"	0
"706"	"isoleucine biosynthetic process"	"Sodalis glossinidius"	0
"707"	"isomerase activity"	"Sodalis glossinidius"	0
"708"	"kinase activity"	"Sodalis glossinidius"	0
"709"	"lipid A biosynthetic process"	"Sodalis glossinidius"	0
"710"	"lipoteichoic acid biosynthetic process"	"Sodalis glossinidius"	0
"711"	"lyase activity"	"Sodalis glossinidius"	0
"712"	"magnesium ion binding"	"Sodalis glossinidius"	0
"713"	"membrane"	"Sodalis glossinidius"	0
"714"	"menaquinone biosynthetic process"	"Sodalis glossinidius"	0
"715"	"metal ion binding"	"Sodalis glossinidius"	0
"716"	"metal ion transport"	"Sodalis glossinidius"	0
"717"	"metalloendopeptidase activity"	"Sodalis glossinidius"	0
"718"	"methionine biosynthetic process"	"Sodalis glossinidius"	0
"719"	"mismatch repair"	"Sodalis glossinidius"	0
"720"	"mismatched DNA binding"	"Sodalis glossinidius"	0
"721"	"Mo-molybdopterin cofactor biosynthetic process"	"Sodalis glossinidius"	0
"722"	"NAD binding"	"Sodalis glossinidius"	0
"723"	"NADH dehydrogenase (ubiquinone) activity"	"Sodalis glossinidius"	0
"724"	"NADP binding"	"Sodalis glossinidius"	0
"725"	"negative regulation of transcription, DNA-templated"	"Sodalis glossinidius"	0
"726"	"negative regulation of translational elongation"	"Sodalis glossinidius"	0
"727"	"nickel cation transmembrane transporter activity"	"Sodalis glossinidius"	0
"728"	"nitrogen compound transport"	"Sodalis glossinidius"	0
"729"	"novo' IMP biosynthetic process"	"Sodalis glossinidius"	0
"730"	"novo' pyrimidine nucleobase biosynthetic process"	"Sodalis glossinidius"	0
"731"	"novo' UMP biosynthetic process"	"Sodalis glossinidius"	0
"732"	"nucleic acid binding"	"Sodalis glossinidius"	141.163284613871
"733"	"nucleotide binding"	"Sodalis glossinidius"	0
"734"	"outer membrane-bounded periplasmic space"	"Sodalis glossinidius"	0
"735"	"oxidoreductase activity"	"Sodalis glossinidius"	0
"736"	"oxidoreductase activity, acting on CH-OH group of donors"	"Sodalis glossinidius"	0
"737"	"penicillin binding"	"Sodalis glossinidius"	0
"738"	"pentose-phosphate shunt"	"Sodalis glossinidius"	0
"739"	"pentose-phosphate shunt, non-oxidative branch"	"Sodalis glossinidius"	0
"740"	"peptidase activity"	"Sodalis glossinidius"	0
"741"	"peptidoglycan biosynthetic process"	"Sodalis glossinidius"	0
"742"	"peptidoglycan glycosyltransferase activity"	"Sodalis glossinidius"	0
"743"	"peptidoglycan metabolic process"	"Sodalis glossinidius"	0
"744"	"periplasmic space"	"Sodalis glossinidius"	0
"745"	"phosphate ion binding"	"Sodalis glossinidius"	0
"746"	"phosphate ion transmembrane transport"	"Sodalis glossinidius"	0
"747"	"phosphate ion transport"	"Sodalis glossinidius"	0
"748"	"phosphoenolpyruvate-dependent sugar phosphotransferase system"	"Sodalis glossinidius"	0
"749"	"phosphogluconate dehydrogenase (decarboxylating) activity"	"Sodalis glossinidius"	0
"750"	"phosphoglycerate mutase activity"	"Sodalis glossinidius"	0
"751"	"phosphorelay sensor kinase activity"	"Sodalis glossinidius"	0
"752"	"phosphorelay signal transduction system"	"Sodalis glossinidius"	0
"753"	"plasma membrane"	"Sodalis glossinidius"	0
"754"	"plasmid maintenance"	"Sodalis glossinidius"	14.1527349147019
"755"	"positive regulation of proteolysis"	"Sodalis glossinidius"	0
"756"	"potassium ion transport"	"Sodalis glossinidius"	0
"757"	"protein dimerization activity"	"Sodalis glossinidius"	5.55455960037791
