"Myxococcus xanthus"
"Fructobacillus ficulneus"
"Cedecea neteri"
"Phakopsora pachyrhizi"
"Lactobacillus malefermentans"
"Rhodamnia argentea"
"Pseudomonas koreensis"
"Acinetobacter baylyi"
"Alkaliphilus metalliredigens"
"Fomitiporia mediterranea"
"Exophiala oligosperma"
"Erwinia sp. Ejp617"
"Bifidobacterium longum"
"Spiroplasma sp. TIUS-1"
"Syzygium oleosum"
"Methylorubrum populi"
"Comamonas kerstersii"
"Cloacibacterium normanense"
"Vibrio crassostreae"
"Oenothera suffrutescens"
"Komagataeibacter saccharivorans"
"Bacteroides helcogenes"
"Mentha canadensis"
"Advenella kashmirensis"
"Zoogloea oryzae"
"Festuca glaucescens x Lolium multiflorum"
"Psychromonas sp. CNPT3"
"Pseudomonas otitidis"
"Trifolium aureum"
"Lactobacillus backii"
"Cuphea hyssopifolia"
"Halopiger xanaduensis"
"Pomacea canaliculata"
"Eucalyptus cladocalyx"
"Ligustrum lucidum"
"Mycobacterium noviomagense"
"Pantoea eucalypti"
"Odontomachus brunneus"
"Origanum microphyllum"
"Quercus rotundifolia"
"Thymbra capitata"
"Methylobacterium bullatum"
"Prevotella scopos"
"Lachnoanaerobaculum umeaense"
"Actinomyces sp. oral taxon 848"
"Hanceola sinensis"
"Bacillus virus 250"
"Fructobacillus tropaeoli"
"Hyphopichia pseudoburtonii"
"Methylobacterium sp. XJLW"
"Melanaphis sacchari"
"Erwinia phage phiEt88"
"Rosenbergiella nectarea"
"Spondias tuberosa"
"Triplaris purdiei"
"Endosymbiont of Durinskia baltica"
"Flavobacteriaceae bacterium UJ101"
"Thrips australis"
"Acinetobacter equi"
"Corynebacterium sp. ATCC 6931"
"Quercus aquifolioides"
"Bombella intestini"
"Arsenophonus endosymbiont of Apis mellifera"
"Rosenbergiella epipactidis"
"Acinetobacter sp. AgosA2.1"
"Acetilactobacillus jinshanensis"
"Microbacteriaceae bacterium WY83"
"Lachnospiraceae bacterium"
"Pectobacterium parmentieri"
"Curtobacterium sp. BH-2-1-1"
"Denitratisoma sp. DHT3"
"Ooceraea biroi"
"Methanobacterium sp. BAmetb5"
"Klebsiella quasivariicola"
"Panax sp. VM-2017"
"Pantoea sp. MSR2"
"Pseudomonas sp. 02C 26"
"Mesorhizobium sp. DCY119"
"Serratia sp. 3ACOL1"
"Buttiauxella sp. 3AFRM03"
"Chryseobacterium sp. H6466"
"Halobacterium virus ChaoS9"
"Enterobacter sp. N18-03635"
"Erwinia sp. QL-Z3"
"Prokaryotic dsDNA virus sp."
"Corynebacterium sanguinis"
"Pseudomonas sp. BJP69"
"Acinetobacter sp. C16S1"
"Acinetobacter sp. dk386"
"Acinetobacter sp. Marseille-Q1620"
"Ralstonia solanacearum"
"Legionella spiritensis"
"Streptomyces globisporus"
"Streptomyces kanamyceticus"
"Streptosporangium roseum"
"Linum usitatissimum"
"Oryza australiensis"
"Tripsacum dactyloides"
"Schizosaccharomyces octosporus"
"Wickerhamomyces anomalus"
"Debaryomyces hansenii"
"Sclerotinia sclerotiorum"
"Leishmania panamensis"
"Trichomonas vaginalis"
"Plasmodium vivax"
"Octopus vulgaris"
"Aedes aegypti"
"Strongylocentrotus purpuratus"
"Houttuynia cordata"
"Tarenaya hassleriana"
"Streptomyces cattleya"
"Staphylococcus auricularis"
"Stomoxys calcitrans"
"Epichloe festucae"
"Plasmodium ovale"
"Bathycoccus prasinos"
"Hyparrhenia hirta"
"Pyrenophora tritici-repentis"
"Stylophora pistillata"
"Ribgrass mosaic virus"
"Guillardia theta"
"Tsukamurella tyrosinosolvens"
"Bambusa oldhamii"
"Pieris rapae"
"Papilio xuthus"
"Caulobacter henricii"
"Ostreococcus tauri"
"Callistemon rigidus"
"Strongyloides venezuelensis"
"Cimex lectularius"
"Prunus mume"
"Bicyclus anynana"
"Boechera divaricarpa"
"Elymus transhyrcanus"
"Callistemon lanceolatus"
"Planococcus antarcticus"
"Plantago ovata"
"Tamarix ramosissima"
"Brachychiton rupestris"
"Utricularia reniformis"
"Hololachna songarica"
"Onopordum acaulon"
"Pseudomonas trivialis"
"Punctularia strigosozonata"
"Panicum hallii"
"Phaeoacremonium minimum"
"Gonystylus bancanus"
"Shewanella psychrophila"
"Staphylococcus equorum"
"Acidianus sulfidivorans"
"Trachymyrmex cornetzi"
"Lippia origanoides"
"Polynucleobacter acidiphobus"
"Spirosoma rigui"
"Rhizophagus irregularis"
"Martelella sp. AD-3"
"Acinetobacter indicus"
"Kibdelosporangium phytohabitans"
"Digitaria exilis"
"uncultured bacterium T3_7_42578"
"Pseudomonas sihuiensis"
"Bifidobacterium sp. Hma3N"
"Burkholderia sp. BDU6"
"Osmia bicornis"
"Streptomyces sp. CCM_MD2014"
"Pseudomonas sp. S35"
"Pseudomicrostroma glucosiphilum"
"Rheinheimera sp."
"Planctomycetes bacterium HG15A2"
"Sterolibacteriaceae bacterium J5B"
"Burkholderia sp. JP2-270"
"Pseudomonas sp. LG1E9"
"Yamadazyma tenuis"
"Pantoea sp. SO10"
"Sphaerirostris picae"
"Halomonas sp. PA16-9"
"Methylophilus medardicus"
"Serinicoccus sp. W204"
"Streptococcus sp. LPB0220"
"Hymenobacter sp. BRD72"
"Paenibacillus sp. B01"
"Erysipelothrix sp. HDW6B"
"Azorhizobium caulinodans"
"Lysobacter enzymogenes"
"Spirosoma linguale"
"Helicobacter pylori"
"Comamonas testosteroni"
"Shimwellia blattae"
"Proteus mirabilis"
"Providencia rettgeri"
"Yersinia intermedia"
"Edwardsiella tarda"
"Vibrio alginolyticus"
"Vibrio fluvialis"
"Vibrio sp."
"Phocaeicola vulgatus"
"Campylobacter gracilis"
"Fusobacterium ulcerans"
"Sphingobacterium mizutaii"
"Leuconostoc lactis"
"Staphylococcus sciuri"
"Brevibacillus laterosporus"
"Clostridium botulinum"
"Lactobacillus sakei"
"Lactobacillus oris"
"Lactobacillus vaginalis"
"Corynebacterium ammoniagenes"
"Corynebacterium stationis"
"Mycobacterium xenopi"
"Spiroplasma citri"
"Mesoplasma florum"
"Picea abies"
"Picea rubens"
"Pinus strobus"
"Pinus coulteri"
"Pinus banksiana"
"Cucurbita maxima"
"Cucurbita pepo"
"Momordica charantia"
"Sorghum bicolor"
"Schizophyllum commune"
"Fusarium graminearum"
"Rhodotorula mucilaginosa"
"Leishmania donovani"
"Plasmodium malariae"
"Crassostrea virginica"
"Drosophila mauritiana"
"Drosophila sechellia"
"Drosophila willistoni"
"Drosophila obscura"
"Danaus plexippus"
"Sphingomonas paucimobilis"
"Saccharomyces paradoxus"
"Yersinia kristensenii"
"Anaerotignum propionicum"
"Gemella morbillorum"
"Pteridium aquilinum"
"[Ruminococcus] gnavus"
"Gossypium herbaceum"
"Strongyloides ratti"
"Bacillus atticus"
"Micromonas pusilla"
"Nosema ceranae"
"Rickettsia felis"
"Orbicella faveolata"
"Asclepias syriaca"
"Solanum pinnatisectum"
"Aspergillus heteromorphus"
"Lactobacillus dextrinicus"
"Chroococcidiopsis thermalis"
"Salmonella bongori"
"Shewanella frigidimarina"
"Dicrocoelium dendriticum"
"Phaeobacter gallaeciensis"
"Sanguibacter keddieii"
"Staphylococcus succinus"
"Pluralibacter gergoviae"
"Isertia laevis"
"Cathaya argyrophylla"
"Wolbachia sp. wRi"
"Citrobacter rodentium"
"Curtobacterium pusillum"
"Candidatus Phytoplasma solani"
"Acinetobacter dispersus"
"Pinus kesiya"
"Sphaeroforma arctica"
"Collinsella aerofaciens"
"Wolbachia endosymbiont of Drosophila simulans"
"Entomoplasma melaleucae"
"Messor structor"
"Obesumbacterium proteus"
"Desulfosarcina ovata"
"Trypanosoma conorhini"
"Pseudoclostridium thermosuccinogenes"
"Pinus armandii"
"Pandoraea sputorum"
"Flavobacterium psychrophilum"
"Ismelia carinata"
"Saccharothrix espanaensis"
"Acetobacter tropicalis"
"Patrinia triloba"
"Dichanthium annulatum"
"Methylomonas sp. LW13"
"Nilaparvata lugens"
"Wolbachia phage WO"
"Cercospora beticola"
"Mycolicibacterium doricum"
"Sorbaria sorbifolia"
"Pogonomyrmex barbatus"
"Callosobruchus chinensis"
"Leptomonas pyrrhocoris"
"Leptotrichia wadei"
"Vigna radiata"
"Cedecea lapagei"
"Leminorella richardii"
"Megamonas hypermegale"
"Sphingomonas wittichii"
"Peltigera degenii"
"Ilyobacter polytropus"
"Mycoplasma anatis"
"uncultured fungus"
"Beauveria bassiana"
"Pectobacterium brasiliense"
"Arachnitis uniflora"
"Shewanella denitrificans"
"Capsaspora owczarzaki"
"Alkalihalobacillus krulwichiae"
"uncultured marine eukaryote"
"Bombus vosnesenskii"
"Wolbachia endosymbiont of Ctenocephalides felis"
"Anoplophora glabripennis"
"Agrilus planipennis"
"Belliella baltica"
"Diplodia corticola"
"Pseudomonas psychrotolerans"
"Rummeliibacillus stabekisii"
"Ostreococcus sp. 'lucimarinus'"
"Wolbachia endosymbiont of Cimex lectularius"
"Yersinia aleksiciae"
"Candidatus Phytoplasma pini"
"Hyalella azteca"
"Enterobacter ludwigii"
"Alteromonas mediterranea"
"Massilia lutea"
"Alistipes onderdonkii"
"Shewanella xiamenensis"
"Shewanella sp. W3-18-1"
"Sphingobacterium daejeonense"
"Epibacterium mobile"
"Aquisphaera giovannonii"
"Cronobacter muytjensii"
"Yersinia massiliensis"
"Pedobacter steynii"
"Pseudomonas marincola"
"Geobacter sp. M21"
"Diachasma alloeum"
"Bryonia marmorata"
"Dietzia timorensis"
"Kosakonia arachidis"
"Mycobacterium mantenii"
"Sphingobium sp. SYK-6"
"Paenalcaligenes hominis"
"Rahnella sp. WMR66"
"Haloplanus aerogenes"
"Myroides phaeus"
"Cyclovirus TN12"
"Microbacterium oryzae"
"Methylophaga nitratireducenticrescens"
"Wolbachia endosymbiont of Ceutorhynchus obstrictus"
"Gemmatirosa kalamazoonesis"
"Shinella sp. HZN7"
"Enterobacter bugandensis"
"Aloysia citrodora"
"Salpingoeca rosetta"
"Begonia guangxiensis"
"Acetobacter persici"
"Massilia putida"
"Acinetobacter oleivorans"
"Kosakonia sacchari"
"Cronobacter condimenti"
"Mesotoga infera"
"Edwardsiella piscicida"
"Chryseobacterium camelliae"
"Enterobacteriaceae bacterium bta3-1"
"Melanthrips fuscus"
"Serratia sp. FS14"
"Wolbachia endosymbiont of Chrysomya megacephala"
"Nonlabens sp. Hel1_33_55"
"Hymenobacter sp. APR13"
"Dickeya aquatica"
"Candidatus Walczuchella monophlebidarum"
"Mixta theicola"
"Hyposmocoma kahamanoa"
"Hymenobacter sp. PAMC 26554"
"Hymenobacter sp. PAMC 26628"
"Chryseobacterium shandongense"
"Pseudomonas sp. 1W-57Y"
"Carnobacterium sp. CP1"
"Pseudomonas sp. R76"
"Paenibacillus bovis"
"Candidatus Nitrosoglobus terrae"
"Aeromonas sp. ASNIH1"
"Rhodococcus sp. PBTS 2"
"Phialophora attinorum"
"uncultured delta proteobacterium Rifle_16ft_4_minimus_39832"
"Enterobacter sp. FY-07"
"Massilia sp. WG5"
"Acinetobacter sp. ACNIH2"
"Rahnella sp. ERMR1:05"
"Enterobacter roggenkampii"
"Acidovorax sp. RAC01"
"Bosea sp. RAC05"
"Limihaloglobus sulfuriphilus"
"Jeotgalibaca arthritidis"
"Acinetobacter wuhouensis"
"Microbacterium sp. BH-3-3-3"
"Enterobacter cloacae complex sp. ECNIH7"
"Leclercia sp. LSNIH1"
"Enterobacter sp. Crenshaw"
"Phage FAKO05_000032F"
"Caenorhabditis inopinata"
"Acinetobacter sp. WCHA55"
"Enterococcus wangshanyuanii"
"Sinomonas sp. R1AF57"
"Pseudomonas sp. NS1(2017)"
"Paraburkholderia aromaticivorans"
"Pectobacterium polaris"
"Enterococcus sp. CR-Ec1"
"uncultured Caudovirales phage"
"Megasphaera stantonii"
"Colwellia sp. Arc7-D"
"Chromobacterium sp. IIBBL 112-1"
"Psychrobacter sp. YP14"
"Sphingomonas sp. FARSPH"
"Dechloromonas sp. HYN0024"
"Skermanella pratensis"
"Georhizobium profundi"
"Pedobacter sp. G11"
"Serratia sp. P2ACOL2"
"Corynebacterium sp. LMM-1652"
"Pantoea sp. CCBC3-3-1"
"Roseovarius sp. MME-070"
"Rheinheimera sp. LHK132"
"Pantoea virus AAS23"
"Clostridium sp. JN-9"
"Nocardioides seonyuensis"
"Serratia phage Parlo"
"Pectinobacterium virus PEAT2"
"Sphingomonas sp. PAMC26645"
"Novosphingobium sp. ABRDHK2"
"Saccharibacillus brassicae"
"Mesorhizobium sp. 8"
"Paracoccus sp. AK26"
"Sulfurimonas sp. 1-1N"
"Acetobacter sp. KACC 21233"
"Alcaligenaceae bacterium SJ-26"
"Enterobacter sp. E76"
"Crassaminicella sp. SY095"
"Pseudomonas sp. KUIN-1"
"Hydrogenophaga sp. BPS33"
"Novosphingobium sp. Gsoil 351"
"Bombella sp. KACC 21507"
"Klebsiella sp. MPUS7"
"Sphingomonas sp. MK52"
"Leclercia sp. 29361"
"Sinorhizobium fredii"
"Rhizobium leguminosarum"
"Legionella pneumophila"
"Moraxella catarrhalis"
"Eikenella corrodens"
"Escherichia fergusonii"
"Actinobacillus suis"
"Porphyromonas gingivalis"
"Weissella paramesenteroides"
"Streptococcus porcinus"
"Bacillus anthracis"
"Bacillus coagulans"
"Clostridium beijerinckii"
"Lactobacillus pentosus"
"Listeria ivanovii"
"Actinomyces viscosus"
"Bifidobacterium coryneforme"
"Bifidobacterium indicum"
"Pseudopropionibacterium propionicum"
"Mycolicibacterium aurum"
"Streptomyces chartreusis"
"Methanobrevibacter smithii"
"Sporomusa termitida"
"Marinobacter hydrocarbonoclasticus"
"Spinacia oleracea"
"Actinidia chinensis"
"Cajanus cajan"
"Torulaspora delbrueckii"
"Aspergillus niger"
"Candida tropicalis"
"Entamoeba histolytica"
"Plasmodium chabaudi"
"Caenorhabditis elegans"
"Trichinella spiralis"
"Biomphalaria glabrata"
"Tigriopus californicus"
"Drosophila arizonae"
"Human papillomavirus"
"Parastagonospora nodorum"
"Trachycarpus fortunei"
"Naumovozyma castellii"
"Bacteroides zoogleoformans"
"Leptospira weilii"
"Arcobacter butzleri"
"Drosophila eugracilis"
"Mycoplasma canis"
"Sinapis arvensis"
"Bombus terrestris"
"Entamoeba invadens"
"Aeribacillus pallidus"
"Helicobacter pullorum"
"Sparganium eurycarpum"
"Ruta graveolens"
"Priapulus caudatus"
"Bartonella henselae"
"Pimpinella saxifraga"
"Silene vulgaris"
"Reichardia picroides"
"Enterococcus cecorum"
"Mycobacterium conspicuum"
"Pocillopora damicornis"
"Cenarchaeum symbiosum"
"Coffea eugenioides"
"Sonchus asper"
"Sonchus oleraceus"
"Diabrotica virgifera"
"Trichophyton benhamiae"
"Sydowia polyspora"
"Caulobacter mirabilis"
"Selenomonas sputigena"
"Calothamnus oldfieldii"
"Papaver californicum"
"Boldia erythrosiphon"
"Mayaca fluviatilis"
"Hypolytrum nemorum"
"Dendroctonus ponderosae"
"Tuberaria guttata"
"Leitneria floridana"
"Eggerthella lenta"
"Lactobacillus acidipiscis"
"Ipomoea leptophylla"
"Camelina sativa"
"Notobasis syriaca"
"Trifolium alexandrinum"
"Schrenkiella parvula"
"Amaranthus palmeri"
"Aceria tulipae"
"uncultured archaeon"
"Aethina tumida"
"Azadirachta indica"
"Rosa hybrid cultivar"
"Filifactor alocis"
"Acetobacter orientalis"
"Carnobacterium inhibens"
"Phialocephala scopiformis"
"Pseudoalteromonas ruthenica"
"Melia azedarach"
"Leptotrichia hofstadii"
"Dioscorea pentaphylla"
"Anemone hepatica"
"Novosphingobium tardaugens"
"Mycoplasma citelli"
"uncultured marine virus"
"Acidaminococcus intestini"
"Methylobacillus sp. KY4400"
"Escherichia albertii"
"Turnera subulata"
"Pseudomyrmex gracilis"
"Paenibacillus antarcticus"
"Fictibacillus arsenicus"
"Corynebacterium resistens"
"uncultured Streptophyta"
"Cavenderia fasciculata"
"Collimonas arenae"
"Lactobacillus oligofermentans"
"Pyricularia oryzae"
"Rickettsia endosymbiont of Bemisia tabaci"
"uncultured Eimeriidae"
"Pistacia khinjuk"
"Corynebacterium timonense"
"Acetobacter senegalensis"
"Aplosporella prunicola"
"Pantoea brenneri"
"Helianthemum canum"
"Paenibacillus sp. Y412MC10"
"Bacillus sp. S3"
"Onymacris rugatipennis"
"Nylanderia fulva"
"Paraburkholderia sp. CCGE1002"
"Flavobacterium haoranii"
"Actinomyces sp. oral taxon 414"
"Plasmodium sp. DRC-Itaito"
"Mekongiella xizangensis"
"Morus notabilis"
"Geotrichum candidum"
"Lactobacillus hokkaidonensis"
"Bradyrhizobium sp. CCGE-LA001"
"Mucilaginibacter sp. PAMC 26640"
"Sphingobium sp. TKS"
"Sphingobium baderi"
"Pandoravirus salinus"
"Bordetella genomosp. 9"
"Rhodococcus sp. B7740"
"Rhamnus taquetii"
"Rouxiella badensis"
"Psychrobacter sp. P11G5"
"Negativicoccus massiliensis"
"Oryzomicrobium terrae"
"Chloropicon primus"
"Olsenella timonensis"
"Colwellia sp. PAMC 20917"
"Actinomyces pacaensis"
"bacterium"
"Lactococcus petauri"
"Chlamydia sp. H15-1957-10C"
"Pseudomonas sp. FDAARGOS_380"
"Changchengzhania lutea"
"Pseudomonas sp. NC02"
"Lysinibacillus sp. YS11"
"Heterostelium album"
"Photorhabdus laumondii"
"Bdellovibrio sp. NC01"
"Satyrvirus sp."
"Chryseobacterium aureum"
"Planctomycetes bacterium Pan181"
"Planctomycetes bacterium Enr13"
"Streptomyces aquilus"
"Bacillus sp. DSL-17"
"Elizabethkingia sp. 2-6"
"Nonomuraea sp. WYY166"
"Nocardioides sp. dk884"
"Stenotrophomonas sp. 364"
"Aminipila sp. CBA3637"
"Streptomyces sp. JB150"
"Erysipelothrix sp. HDW6A"
"Thermomicrobium roseum"
"Kingella kingae"
"Providencia stuartii"
"Aeromonas salmonicida"
"Fusobacterium necrophorum"
"Microcystis aeruginosa"
"Pediococcus pentosaceus"
"Streptococcus iniae"
"Enterococcus hirae"
"Paenibacillus polymyxa"
"Clostridium pasteurianum"
"Lactobacillus hilgardii"
"Chlamydomonas reinhardtii"
"Physcomitrium patens"
"Oryza brachyantha"
"Pneumocystis carinii"
"Yarrowia lipolytica"
"Leptosphaeria maculans"
"Cryptococcus neoformans"
"Trichoderma harzianum"
"Cryptococcus wingfieldii"
"Actinia tenebrosa"
"Drosophila erecta"
"Ctenocephalides felis"
"Blastocystis hominis"
"Burkholderia mallei"
"Metschnikowia reukaufii"
"Porphyromonas asaccharolytica"
"Talaromyces funiculosus"
"Drosophila suzukii"
"Daphnia magna"
"Aspergillus sojae"
"Burkholderia plantarii"
"Tolumonas auensis"
"Teramnus labialis"
"Rathayibacter iranicus"
"Lelliottia amnigena"
"Kitasatospora albolonga"
"Sporisorium reilianum"
"Trifolium hybridum"
"Trifolium pallescens"
"Alkalihalobacillus clausii"
"Frateuria aurantia"
"Magnolia denudata"
"Oligella urethralis"
"Ostrinia furnacalis"
"Gloeophyllum trabeum"
"Inkyuleea mariana"
"Bombus impatiens"
"Pogonomyrmex occidentalis"
"Lithocarpus edulis"
"Thrips imaginis"
"Agrobacterium larrymoorei"
"Paenibacillus borealis"
"Butia eriospatha"
"Vibrio coralliilyticus"
"Dickeya dadantii"
"Exophiala mesophila"
"Achromobacter spanius"
"Fructobacillus pseudoficulneus"
"Comamonas aquatica"
"Arachis monticola"
"Dyella japonica"
"Arsenophonus endosymbiont of Aleurodicus dispersus"
"Pseudomonas syringae group genomosp. 3"
"Spirochaeta perfilievii"
"Gluconobacter thailandicus"
"Bacillus altitudinis"
"Temnothorax curvispinosus"
"Gluconobacter albidus"
"Pseudomonas moraviensis"
"Mesoplasma coleopterae"
"Bacillus sp. Am 08"
"Psychrobacter cryohalolentis"
"Rahnella sp. 'WMR15'"
"Exiguobacterium sp. AT1b"
"Microbacterium sp. XT11"
"Pseudomonas protegens"
"Amphimedon queenslandica"
"Parthenocissus vitacea"
"Cercospora sojina"
"[Brevibacterium] frigoritolerans"
"Lactobacillus hordei"
"Acetobacter ascendens"
"Dolichopeza americana"
"Streptomyces iranensis"
"Lactobacillus koreensis"
"Pseudogymnoascus destructans"
"Pseudomonas sp. CMR5c"
"Lysinibacillus pakistanensis"
"bacterium enrichment culture clone 2a(2010)"
"Cutaneotrichosporon oleaginosum"
"Massilia oculi"
"Staphylococcus agnetis"
"Diadegma semiclausum ichnovirus"
"Triadenum fraseri"
"Lactobacillus ginsenosidimutans"
"Ligustrum gracile"
"Pseudomonas sp. StFLB209"
"Citrobacter sp. 36-4CPA"
"Leptolyngbya sp. O-77"
"Sagartia ornata"
"Moorea producens"
"Komagataeibacter medellinensis"
"Teucrium stocksianum"
"Lactobacillus sp. H1_10_1MCO2"
"Anneissia japonica"
"Paenibacillus sp. FSL R5-0912"
"Paenibacillus sp. FSL R7-0273"
"Paenibacillus sp. FSL R7-0331"
"Methylomonas denitrificans"
"Geminocystis sp. NIES-3709"
"Pirellula sp. SH-Sr6A"
"Rhodoferax phage P26218"
"Thermobifida phage P1312"
"Megasphaera hexanoica"
"Curtobacterium sp. 9128"
"Lacunisphaera limnophila"
"Erythrina falcata"
"Rhodococcus sp. S2-17"
"Acinetobacter chinensis"
"Bacillus luti"
"Eriophyes sp. AD1122"
"Pseudomonas sp. S09G 359"
"Bradyrhizobium sp. SK17"
"Stenotrophomonas sp. ESTM1D_MKCIP4_1"
"Lactobacillus zhachilii"
"Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1"
"Thottopalayam thottimvirus"
"Mimivirus LCMiAC01"
"Asteropeia rhopaloides"
"Cedecea sp. FDAARGOS_727"
"Citrobacter sp. SNU WT2"
"Enterobacter sp. 18A13"
"Citrobacter sp. TBCP-5362"
"Pseudomonas sp. SWI7"
"Roseovarius sp. THAF27"
"Klebsiella phage vB_KpnP_Emp27"
"Tomitella sp. HY188"
"Erwinia phage pEp_SNUABM_01"
"Bacillus sp. BS98"
"Gordonia sp. 135"
"Flavihumibacter sp. SB-02"
"Erwinia sp. J780"
"Acinetobacter sp. 185"
"Hydrogenophaga sp. BA0156"
"Leifsonia sp. PS1209"
"Acinetobacter sp. NEB149"
"Zymomonas mobilis"
"Trichodesmium erythraeum"
"Streptococcus parauberis"
"Lactococcus piscium"
"Listeria monocytogenes"
"Candida albicans"
"Leishmania amazonensis"
"Drosophila miranda"
"Drosophila virilis"
"Clavibacter michiganensis"
"Kluyveromyces lactis"
"Synechococcus elongatus"
"Phyllostachys edulis"
"Populus alba"
"Corynebacterium striatum"
"Sporisorium scitamineum"
"Flavobacterium branchiophilum"
"Janthinobacterium agaricidamnosum"
"Spodoptera litura"
"Nostoc sp. ATCC 53789"
"Roseateles depolymerans"
"Haliangium ochraceum"
"Exserohilum turcicum"
"Burkholderia stabilis"
"Trochiscia hystrix"
"[Eubacterium] sulci"
"Campylobacter insulaenigrae"
"Byssochlamys spectabilis"
"Onopordum nervosum"
"Methylobacterium oryzae"
"Diplopterygium glaucum"
"Mycobacteroides salmoniphilum"
"Abies religiosa"
"Eufriesea mexicana"
"Streptococcus sp. oral taxon 064"
"Opitutaceae bacterium TAV5"
"Minicystis rosea"
"candidate division WWE3 bacterium RAAC2_WWE3_1"
"Streptococcus sp. VT 162"
"Acinetobacter sp. Ooi24"
"Rhodococcus sp. 008"
"Roseitalea porphyridii"
"Tardibacter chloracetimidivorans"
"Hubei mivirus"
"Sphingobacterium sp. G1-14"
"Chondrocystis sp. NIES-4102"
"Lactococcus phage 30804"
"Mesorhizobium japonicum"
"Brachybacterium sp. SGAir0954"
"Flavobacterium sp. SLB02"
"Streptomyces sp. HF10"
"Cellulomonas sp. H30R-01"
"Pseudenhygromyxa sp. WMMC2535"
"Propioniciclava sp. HDW11"
